,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,OperationTime,Address
0,스시미세기-초밥전문점,ww**님,"스시난 /1,눈다랑어 2p/1",배달 빠르고 맛있습니다,5,5,5,5,2022년 2월 28일,11:00 - 22:00,서울특별시 서대문구 창천동 91-6 창천빌딩 91-6 창천빌딩 1층 101호
1,스시미세기-초밥전문점,ww**님,"스시매/1,눈다랑어 2p/1",배달 빠르고 맛있습니다,5,5,5,5,2022년 2월 18일,11:00 - 22:00,서울특별시 서대문구 창천동 91-6 창천빌딩 91-6 창천빌딩 1층 101호
2,스시미세기-초밥전문점,ca**님,"스시난 /1,계란 2p/1",코시국 이전 친구들과 자주 갔던 곳입니다! 요기요로 초밥 검색하다가 발견했는데 완전 반가웠습니다. 앞으로 자주 주문하겠습니다. 스시난 구성이 참 알찹니다! 계란초밥 좋아해서 추가했는데 역시 맛있고요. 회도 새우도 탱글탱글 합니다. (배달 문제인지..윗부분과 밥이 분리가 되어 왔는데 요건 좀 아쉽습니다ㅠ),5,5,5,3,2022년 2월 7일,11:00 - 22:00,서울특별시 서대문구 창천동 91-6 창천빌딩 91-6 창천빌딩 1층 101호
3,스시미세기-초밥전문점,sn**님,"미세기초밥/1,광어사시미/1",종종 시켜먹을게요 간장이랑 와사비맛있어요,5,5,5,5,2022년 1월 24일,11:00 - 22:00,서울특별시 서대문구 창천동 91-6 창천빌딩 91-6 창천빌딩 1층 101호
4,스시미세기-초밥전문점,fa**님,"연어초밥12Pcs/1,눈다랑어 2p/1",싱싱하고 맛있습니다!!,5,5,5,5,2022년 1월 14일,11:00 - 22:00,서울특별시 서대문구 창천동 91-6 창천빌딩 91-6 창천빌딩 1층 101호
5,스시미세기-초밥전문점,손님,"광어 2p/1,사케동연어덮밥/1","배달로 주문해 먹어도 굉장히 맛있네요! 배달거리가 좀 되어서 걱정했는데 무사히 도착했고, 잘 먹었습니다. 감사합니다.",5,5,5,5,2020년 3월 10일,11:00 - 22:00,서울특별시 서대문구 창천동 91-6 창천빌딩 91-6 창천빌딩 1층 101호
6,스시미세기-초밥전문점,rn**님,"스시난 12p/1,참치 2p/1",미세기초밥은 배달 나오기전에도 자주 시켜먹었는데 역시 너무 맛있는 것 같아요! 비가 오는 날이여서 배달이 조금 늦긴 했지만 서비스로 계란초밥을 넣어주셔서 너무 감사하게 잘 먹었습니다! 자주 먹을 거 같네요!!,5,5,5,4,2020년 2월 14일,11:00 - 22:00,서울특별시 서대문구 창천동 91-6 창천빌딩 91-6 창천빌딩 1층 101호
7,밥은먹었어,nu**님,"제육덮밥/1(재료선택(돼지고기＋김치),메뉴 선택(반찬빼고 곱빼기)),고추장찌개/1(재료 선택(돼지고기))",맛도 양도 배달도 너무 만족스러운 식사였습니다 단골로 저장~~!!,5,5,5,5,4일 전,11:00 - 22:00,서울 서대문구 창천동 89-23 1층
8,밥은먹었어,th**님,"김치찌개/1(메뉴 선택(돼지고기),옵션 선택(반찬（김치,단무지）빼고 밥많이로 변경),사이드 추가 선택(공기밥 추가)),짜글이순두부/1(재료 선택(차돌),옵션 선택(반찬（김치,단무지）빼고 밥많이로 변경))",자주시키는데 좋습니다!,5,5,5,5,일주일 전,11:00 - 22:00,서울 서대문구 창천동 89-23 1층
9,밥은먹었어,th**님,"오므라이스/1(재료 선택(햄),메뉴 선택(반찬빼고 곱빼기)),짜글이순두부/1(재료 선택(차돌),옵션 선택(반찬（김치,단무지）빼고 밥많이로 변경))",잘먹었습니다 다음에도 잘부탁드려요,5,5,5,5,2022년 3월 10일,11:00 - 22:00,서울 서대문구 창천동 89-23 1층
